IDX001:DIM1048576:016|032|046|043|028|019|012|006|004|010|
IDX002:DIM4096:022|035|047|044|029|017|
IDX003:DIM1048576:020|031|039|042|034|018|009|003|005|011|
IDX004:DIM4096:021|030|038|041|025|013|
IDX005:DIM1048576:015|027|040|037|026|014|008|002|001|007|
IDX006:DIM4096:023|033|045|048|036|024|
 Solve OO-CMF with DIIS
Overwritten attributes  conv_tol_residual  of <class 'pyscf.fci.direct_spin1.FCISolver'>
 ooCMF Iter:    1 Total= -1809.650960118355215 G=    1.004e+00 #SS:    1
 ooCMF Iter:    2 Total= -1809.931293320287523 G=    3.559e-01 #SS:    2
 ooCMF Iter:    3 Total= -1809.957985623011155 G=    2.276e-01 #SS:    3
 ooCMF Iter:    4 Total= -1809.977468270568579 G=    1.285e-01 #SS:    4
 ooCMF Iter:    5 Total= -1809.984240820858531 G=    7.294e-02 #SS:    5
 ooCMF Iter:    6 Total= -1809.985033197487610 G=    6.544e-02 #SS:    6
 ooCMF Iter:    7 Total= -1809.987480166992100 G=    4.936e-02 #SS:    7
 ooCMF Iter:    8 Total= -1809.989203200416796 G=    4.556e-02 #SS:    8
 ooCMF Iter:    9 Total= -1809.990104820423539 G=    4.126e-02 #SS:    9
 ooCMF Iter:   10 Total= -1809.992378007363868 G=    3.170e-02 #SS:   10
 ooCMF Iter:   11 Total= -1809.993735004544988 G=    2.574e-02 #SS:   11
 ooCMF Iter:   12 Total= -1809.994792186364293 G=    1.463e-02 #SS:   12
 ooCMF Iter:   13 Total= -1809.994875453817258 G=    1.326e-02 #SS:   13
 ooCMF Iter:   14 Total= -1809.995007489569616 G=    1.120e-02 #SS:   14
 ooCMF Iter:   15 Total= -1809.995147931042766 G=    9.334e-03 #SS:   15
 ooCMF Iter:   16 Total= -1809.995207667074055 G=    8.776e-03 #SS:   16
 ooCMF Iter:   17 Total= -1809.995395394840898 G=    4.958e-03 #SS:   17
 ooCMF Iter:   18 Total= -1809.995410679829547 G=    4.501e-03 #SS:   18
 ooCMF Iter:   19 Total= -1809.995428977944584 G=    3.226e-03 #SS:   19
 ooCMF Iter:   20 Total= -1809.995437869188891 G=    2.833e-03 #SS:   20
 ooCMF Iter:   21 Total= -1809.995442271101410 G=    2.666e-03 #SS:   21
 ooCMF Iter:   22 Total= -1809.995457930623161 G=    1.719e-03 #SS:   22
 ooCMF Iter:   23 Total= -1809.995460731365029 G=    1.303e-03 #SS:   23
